=== Org Domain Resolver ===
Input:       output/propublica-immigration-nonprofits.csv
Output:      output/propublica-with-domains.csv
Firm column: firm_name
Concurrency: 40
Rows needing domain: 6399 of 6399
Unique orgs: 5982
  [80.2%] 4800/5982, found=4074, 116.0/s, ETA 10s
  [81.1%] 4850/5982, found=4119, 116.2/s, ETA 10s
  [81.9%] 4900/5982, found=4161, 116.1/s, ETA 9s
  [82.7%] 4950/5982, found=4207, 116.3/s, ETA 9s
  [83.6%] 5000/5982, found=4255, 116.3/s, ETA 8s
  [84.4%] 5050/5982, found=4300, 116.3/s, ETA 8s
  [85.3%] 5100/5982, found=4343, 116.3/s, ETA 8s
  [86.1%] 5150/5982, found=4385, 116.0/s, ETA 7s
  [86.9%] 5200/5982, found=4432, 116.0/s, ETA 7s
  [87.8%] 5250/5982, found=4476, 116.2/s, ETA 6s
  [88.6%] 5300/5982, found=4520, 116.2/s, ETA 6s
  [89.4%] 5350/5982, found=4559, 116.5/s, ETA 5s
  [90.3%] 5400/5982, found=4604, 116.4/s, ETA 5s
  [91.1%] 5450/5982, found=4649, 116.6/s, ETA 5s
  [91.9%] 5500/5982, found=4692, 116.7/s, ETA 4s
  [92.8%] 5550/5982, found=4729, 116.9/s, ETA 4s
  [93.6%] 5600/5982, found=4766, 116.8/s, ETA 3s
  [94.5%] 5650/5982, found=4806, 116.8/s, ETA 3s
  [95.3%] 5700/5982, found=4836, 117.0/s, ETA 2s
  [96.1%] 5750/5982, found=4874, 117.4/s, ETA 2s
  [97.0%] 5800/5982, found=4900, 117.5/s, ETA 2s
  [97.8%] 5850/5982, found=4941, 117.6/s, ETA 1s
  [98.6%] 5900/5982, found=4980, 117.5/s, ETA 1s
  [99.5%] 5950/5982, found=5019, 117.6/s, ETA 0s
  [100.0%] 5982/5982, found=5043, 109.7/s, ETA 0s

=== DONE ===
Unique orgs tried:   5982
Orgs with domain:    5043
Rows enriched:       5449
Output: output/propublica-with-domains.csv
