=== HTTP Website Email Crawler ===
Input:       output/propublica-with-domains.csv
Output:      output/propublica-crawled.csv
Concurrency: 15
Paths:       / /contact /contact-us /about /about-us
Rows: 6399 of 6399
  [36.3%] 2325/6399, emails=725, 2.8/s, ETA 1455s
  [36.7%] 2350/6399, emails=727, 2.8/s, ETA 1446s
  [37.1%] 2375/6399, emails=733, 2.8/s, ETA 1437s
  [37.5%] 2400/6399, emails=740, 2.8/s, ETA 1428s
  [37.9%] 2425/6399, emails=746, 2.8/s, ETA 1419s
  [38.3%] 2450/6399, emails=752, 2.8/s, ETA 1410s
  [38.7%] 2475/6399, emails=758, 2.8/s, ETA 1401s
  [39.1%] 2500/6399, emails=762, 2.8/s, ETA 1393s
  [39.5%] 2525/6399, emails=766, 2.9/s, ETA 1336s
  [39.8%] 2550/6399, emails=774, 2.8/s, ETA 1375s
  [40.2%] 2575/6399, emails=778, 2.8/s, ETA 1366s
  [40.6%] 2600/6399, emails=780, 2.8/s, ETA 1357s
  [41.0%] 2625/6399, emails=789, 2.8/s, ETA 1348s
  [41.4%] 2650/6399, emails=803, 2.8/s, ETA 1339s
  [41.8%] 2675/6399, emails=811, 2.8/s, ETA 1330s
  [42.2%] 2700/6399, emails=820, 2.8/s, ETA 1321s
  [42.6%] 2725/6399, emails=824, 2.8/s, ETA 1312s
  [43.0%] 2750/6399, emails=830, 2.7/s, ETA 1351s
  [43.4%] 2775/6399, emails=841, 2.7/s, ETA 1342s
  [43.8%] 2800/6399, emails=849, 2.6/s, ETA 1384s
  [44.1%] 2825/6399, emails=856, 2.6/s, ETA 1375s
  [44.5%] 2850/6399, emails=862, 2.6/s, ETA 1365s
  [44.9%] 2875/6399, emails=871, 2.6/s, ETA 1355s
  [45.3%] 2900/6399, emails=880, 2.5/s, ETA 1400s
  [45.7%] 2925/6399, emails=883, 2.4/s, ETA 1448s
  [46.1%] 2950/6399, emails=885, 2.4/s, ETA 1437s
  [46.5%] 2975/6399, emails=898, 2.3/s, ETA 1489s
  [46.9%] 3000/6399, emails=909, 2.3/s, ETA 1478s
  [47.3%] 3025/6399, emails=912, 2.3/s, ETA 1467s
  [47.7%] 3050/6399, emails=917, 2.3/s, ETA 1456s
  [48.1%] 3075/6399, emails=926, 2.3/s, ETA 1445s
  [48.4%] 3100/6399, emails=934, 2.3/s, ETA 1434s
  [48.8%] 3125/6399, emails=939, 2.2/s, ETA 1488s
  [49.2%] 3150/6399, emails=949, 2.2/s, ETA 1477s
  [49.6%] 3175/6399, emails=953, 2.2/s, ETA 1465s
  [50.0%] 3200/6399, emails=957, 2.3/s, ETA 1391s
  [50.4%] 3225/6399, emails=963, 2.3/s, ETA 1380s
  [50.8%] 3250/6399, emails=970, 2.2/s, ETA 1431s
  [51.2%] 3275/6399, emails=971, 2.2/s, ETA 1420s
  [51.6%] 3300/6399, emails=981, 2.2/s, ETA 1409s
  [52.0%] 3325/6399, emails=985, 2.2/s, ETA 1397s
  [52.4%] 3350/6399, emails=989, 2.2/s, ETA 1386s
  [52.7%] 3375/6399, emails=996, 2.2/s, ETA 1375s
  [53.1%] 3400/6399, emails=1000, 2.2/s, ETA 1363s
  [53.5%] 3425/6399, emails=1004, 2.2/s, ETA 1352s
  [53.9%] 3450/6399, emails=1014, 2.2/s, ETA 1340s
  [54.3%] 3475/6399, emails=1021, 2.2/s, ETA 1329s
  [54.7%] 3500/6399, emails=1026, 2.2/s, ETA 1318s
  [55.1%] 3525/6399, emails=1032, 2.1/s, ETA 1369s
  [55.5%] 3550/6399, emails=1036, 2.1/s, ETA 1357s
  [55.9%] 3575/6399, emails=1042, 2.1/s, ETA 1345s
  [56.3%] 3600/6399, emails=1044, 2.1/s, ETA 1333s
  [56.6%] 3625/6399, emails=1051, 2.1/s, ETA 1321s
  [57.0%] 3650/6399, emails=1055, 2.1/s, ETA 1309s
  [57.4%] 3675/6399, emails=1059, 2.0/s, ETA 1362s
  [57.8%] 3700/6399, emails=1062, 2.0/s, ETA 1350s
  [58.2%] 3725/6399, emails=1066, 2.0/s, ETA 1337s
  [58.6%] 3750/6399, emails=1069, 2.0/s, ETA 1325s
  [59.0%] 3775/6399, emails=1073, 2.0/s, ETA 1312s
  [59.4%] 3800/6399, emails=1080, 1.9/s, ETA 1368s
  [59.8%] 3825/6399, emails=1085, 1.9/s, ETA 1355s
  [60.2%] 3850/6399, emails=1093, 1.9/s, ETA 1342s
  [60.6%] 3875/6399, emails=1099, 1.9/s, ETA 1328s
  [60.9%] 3900/6399, emails=1102, 1.9/s, ETA 1315s
  [61.3%] 3925/6399, emails=1105, 1.9/s, ETA 1302s
  [61.7%] 3950/6399, emails=1112, 1.9/s, ETA 1289s
  [62.1%] 3975/6399, emails=1117, 1.9/s, ETA 1276s
  [62.5%] 4000/6399, emails=1122, 1.9/s, ETA 1263s
  [62.9%] 4025/6399, emails=1128, 1.9/s, ETA 1249s
  [63.3%] 4050/6399, emails=1132, 1.9/s, ETA 1236s
  [63.7%] 4075/6399, emails=1136, 1.9/s, ETA 1223s
  [64.1%] 4100/6399, emails=1137, 1.9/s, ETA 1210s
  [64.5%] 4125/6399, emails=1139, 1.9/s, ETA 1197s
  [64.9%] 4150/6399, emails=1144, 1.9/s, ETA 1184s
  [65.2%] 4175/6399, emails=1148, 1.9/s, ETA 1171s
  [65.6%] 4200/6399, emails=1158, 1.9/s, ETA 1157s
  [66.0%] 4225/6399, emails=1166, 1.9/s, ETA 1144s
  [66.4%] 4250/6399, emails=1178, 1.9/s, ETA 1131s
  [66.8%] 4275/6399, emails=1190, 1.9/s, ETA 1118s
  [67.2%] 4300/6399, emails=1202, 1.9/s, ETA 1105s
  [67.6%] 4325/6399, emails=1216, 1.9/s, ETA 1092s
  [68.0%] 4350/6399, emails=1230, 1.9/s, ETA 1078s
  [68.4%] 4375/6399, emails=1242, 1.9/s, ETA 1065s
  [68.8%] 4400/6399, emails=1252, 1.8/s, ETA 1111s
  [69.2%] 4425/6399, emails=1263, 1.8/s, ETA 1097s
  [69.5%] 4450/6399, emails=1271, 1.8/s, ETA 1083s
  [69.9%] 4475/6399, emails=1279, 1.8/s, ETA 1069s
  [70.3%] 4500/6399, emails=1294, 1.8/s, ETA 1055s
  [70.7%] 4525/6399, emails=1304, 1.8/s, ETA 1041s
  [71.1%] 4550/6399, emails=1315, 1.8/s, ETA 1027s
  [71.5%] 4575/6399, emails=1327, 1.8/s, ETA 1013s
  [71.9%] 4600/6399, emails=1335, 1.8/s, ETA 999s
  [72.3%] 4625/6399, emails=1339, 1.8/s, ETA 986s
  [72.7%] 4650/6399, emails=1345, 1.8/s, ETA 972s
  [73.1%] 4675/6399, emails=1357, 1.8/s, ETA 958s
  [73.4%] 4700/6399, emails=1362, 1.8/s, ETA 944s
  [73.8%] 4725/6399, emails=1376, 1.8/s, ETA 930s
  [74.2%] 4750/6399, emails=1385, 1.8/s, ETA 916s
  [74.6%] 4775/6399, emails=1392, 1.8/s, ETA 902s
  [75.0%] 4800/6399, emails=1401, 1.8/s, ETA 888s
  [75.4%] 4825/6399, emails=1406, 1.7/s, ETA 926s
  [75.8%] 4850/6399, emails=1413, 1.7/s, ETA 911s
  [76.2%] 4875/6399, emails=1421, 1.7/s, ETA 896s
  [76.6%] 4900/6399, emails=1432, 1.7/s, ETA 882s
  [77.0%] 4925/6399, emails=1437, 1.7/s, ETA 867s
  [77.4%] 4950/6399, emails=1442, 1.7/s, ETA 852s
  [77.7%] 4975/6399, emails=1453, 1.6/s, ETA 890s
  [78.1%] 5000/6399, emails=1457, 1.6/s, ETA 874s
  [78.5%] 5025/6399, emails=1464, 1.6/s, ETA 859s
  [78.9%] 5050/6399, emails=1479, 1.6/s, ETA 843s
  [79.3%] 5075/6399, emails=1490, 1.6/s, ETA 828s
  [79.7%] 5100/6399, emails=1499, 1.6/s, ETA 812s
  [80.1%] 5125/6399, emails=1506, 1.6/s, ETA 796s
  [80.5%] 5150/6399, emails=1515, 1.6/s, ETA 781s
  [80.9%] 5175/6399, emails=1526, 1.6/s, ETA 765s
  [81.3%] 5200/6399, emails=1531, 1.6/s, ETA 749s
  [81.7%] 5225/6399, emails=1542, 1.6/s, ETA 734s
  [82.0%] 5250/6399, emails=1548, 1.5/s, ETA 766s
  [82.4%] 5275/6399, emails=1558, 1.5/s, ETA 749s
  [82.8%] 5300/6399, emails=1562, 1.5/s, ETA 733s
  [83.2%] 5325/6399, emails=1573, 1.5/s, ETA 716s
  [83.6%] 5350/6399, emails=1588, 1.4/s, ETA 749s
  [84.0%] 5375/6399, emails=1600, 1.4/s, ETA 731s
  [84.4%] 5400/6399, emails=1611, 1.4/s, ETA 714s
  [84.8%] 5425/6399, emails=1621, 1.4/s, ETA 696s
  [85.2%] 5450/6399, emails=1628, 1.4/s, ETA 678s
  [85.6%] 5475/6399, emails=1636, 1.4/s, ETA 660s
  [86.0%] 5500/6399, emails=1646, 1.4/s, ETA 642s
  [86.3%] 5525/6399, emails=1657, 1.4/s, ETA 624s
  [86.7%] 5550/6399, emails=1666, 1.4/s, ETA 606s
  [87.1%] 5575/6399, emails=1675, 1.3/s, ETA 634s
  [87.5%] 5600/6399, emails=1681, 1.3/s, ETA 615s
  [87.9%] 5625/6399, emails=1684, 1.2/s, ETA 645s
  [88.3%] 5650/6399, emails=1691, 1.2/s, ETA 624s
  [88.7%] 5675/6399, emails=1695, 1.1/s, ETA 658s
