=== HTTP Website Email Crawler ===
Input:       output/eoir-with-domains.csv
Output:      output/eoir-crawled.csv
Concurrency: 12
Paths:       / /contact /contact-us /about /about-us
Rows: 5217 of 5217
  [45.0%] 2350/5217, emails=415, 3.3/s, ETA 869s
  [45.5%] 2375/5217, emails=418, 3.3/s, ETA 861s
  [46.0%] 2400/5217, emails=420, 3.3/s, ETA 854s
  [46.5%] 2425/5217, emails=423, 3.3/s, ETA 846s
  [47.0%] 2450/5217, emails=427, 3.3/s, ETA 838s
  [47.4%] 2475/5217, emails=431, 3.3/s, ETA 831s
  [47.9%] 2500/5217, emails=435, 3.3/s, ETA 823s
  [48.4%] 2525/5217, emails=441, 3.2/s, ETA 841s
  [48.9%] 2550/5217, emails=446, 3.2/s, ETA 833s
  [49.4%] 2575/5217, emails=448, 3.2/s, ETA 826s
  [49.8%] 2600/5217, emails=452, 3.2/s, ETA 818s
  [50.3%] 2625/5217, emails=454, 3.3/s, ETA 785s
  [50.8%] 2650/5217, emails=454, 3.3/s, ETA 778s
  [51.3%] 2675/5217, emails=454, 3.3/s, ETA 770s
  [51.8%] 2700/5217, emails=454, 3.4/s, ETA 740s
  [52.2%] 2725/5217, emails=454, 3.4/s, ETA 733s
  [52.7%] 2750/5217, emails=454, 3.4/s, ETA 726s
  [53.2%] 2775/5217, emails=454, 3.4/s, ETA 718s
  [53.7%] 2800/5217, emails=454, 3.5/s, ETA 691s
  [54.1%] 2825/5217, emails=454, 3.5/s, ETA 683s
  [54.6%] 2850/5217, emails=454, 3.5/s, ETA 676s
  [55.1%] 2875/5217, emails=454, 3.6/s, ETA 651s
  [55.6%] 2900/5217, emails=454, 3.6/s, ETA 644s
  [56.1%] 2925/5217, emails=454, 3.6/s, ETA 637s
  [56.5%] 2950/5217, emails=454, 3.7/s, ETA 613s
  [57.0%] 2975/5217, emails=454, 3.7/s, ETA 606s
  [57.5%] 3000/5217, emails=454, 3.7/s, ETA 599s
  [58.0%] 3025/5217, emails=454, 3.8/s, ETA 577s
  [58.5%] 3050/5217, emails=454, 3.8/s, ETA 570s
  [58.9%] 3075/5217, emails=454, 3.8/s, ETA 564s
  [59.4%] 3100/5217, emails=454, 3.8/s, ETA 557s
  [59.9%] 3125/5217, emails=454, 3.9/s, ETA 536s
  [60.4%] 3150/5217, emails=454, 3.9/s, ETA 530s
  [60.9%] 3175/5217, emails=454, 3.9/s, ETA 524s
  [61.3%] 3200/5217, emails=454, 4.0/s, ETA 504s
  [61.8%] 3225/5217, emails=454, 4.0/s, ETA 498s
  [62.3%] 3250/5217, emails=454, 4.0/s, ETA 492s
  [62.8%] 3275/5217, emails=454, 4.1/s, ETA 474s
  [63.3%] 3300/5217, emails=454, 4.1/s, ETA 468s
  [63.7%] 3325/5217, emails=454, 4.1/s, ETA 461s
  [64.2%] 3350/5217, emails=454, 4.2/s, ETA 445s
  [64.7%] 3375/5217, emails=454, 4.2/s, ETA 439s
  [65.2%] 3400/5217, emails=454, 4.2/s, ETA 433s
  [65.7%] 3425/5217, emails=454, 4.3/s, ETA 417s
  [66.1%] 3450/5217, emails=454, 4.3/s, ETA 411s
  [66.6%] 3475/5217, emails=454, 4.3/s, ETA 405s
  [67.1%] 3500/5217, emails=454, 4.3/s, ETA 399s
  [67.6%] 3525/5217, emails=454, 4.4/s, ETA 385s
  [68.0%] 3550/5217, emails=454, 4.4/s, ETA 379s
  [68.5%] 3575/5217, emails=454, 4.4/s, ETA 373s
  [69.0%] 3600/5217, emails=454, 4.5/s, ETA 359s
  [69.5%] 3625/5217, emails=454, 4.5/s, ETA 354s
  [70.0%] 3650/5217, emails=454, 4.5/s, ETA 348s
  [70.4%] 3675/5217, emails=454, 4.6/s, ETA 335s
  [70.9%] 3700/5217, emails=454, 4.6/s, ETA 330s
  [71.4%] 3725/5217, emails=454, 4.6/s, ETA 324s
  [71.9%] 3750/5217, emails=454, 4.7/s, ETA 312s
  [72.4%] 3775/5217, emails=454, 4.7/s, ETA 307s
  [72.8%] 3800/5217, emails=454, 4.7/s, ETA 301s
  [73.3%] 3825/5217, emails=454, 4.7/s, ETA 296s
  [73.8%] 3850/5217, emails=454, 4.8/s, ETA 285s
  [74.3%] 3875/5217, emails=454, 4.8/s, ETA 280s
  [74.8%] 3900/5217, emails=454, 4.8/s, ETA 274s
  [75.2%] 3925/5217, emails=454, 4.9/s, ETA 264s
  [75.7%] 3950/5217, emails=454, 4.9/s, ETA 259s
  [76.2%] 3975/5217, emails=454, 4.9/s, ETA 253s
  [76.7%] 4000/5217, emails=454, 5.0/s, ETA 243s
  [77.2%] 4025/5217, emails=454, 5.0/s, ETA 238s
  [77.6%] 4050/5217, emails=454, 5.0/s, ETA 233s
  [78.1%] 4075/5217, emails=454, 5.1/s, ETA 224s
  [78.6%] 4100/5217, emails=454, 5.1/s, ETA 219s
  [79.1%] 4125/5217, emails=454, 5.1/s, ETA 214s
  [79.5%] 4150/5217, emails=454, 5.2/s, ETA 205s
  [80.0%] 4175/5217, emails=454, 5.2/s, ETA 200s
  [80.5%] 4200/5217, emails=454, 5.2/s, ETA 196s
  [81.0%] 4225/5217, emails=454, 5.2/s, ETA 191s
  [81.5%] 4250/5217, emails=454, 5.3/s, ETA 182s
  [81.9%] 4275/5217, emails=454, 5.3/s, ETA 178s
  [82.4%] 4300/5217, emails=454, 5.3/s, ETA 173s
  [82.9%] 4325/5217, emails=454, 5.4/s, ETA 165s
  [83.4%] 4350/5217, emails=454, 5.4/s, ETA 161s
  [83.9%] 4375/5217, emails=454, 5.4/s, ETA 156s
  [84.3%] 4400/5217, emails=454, 5.5/s, ETA 149s
  [84.8%] 4425/5217, emails=454, 5.5/s, ETA 144s
  [85.3%] 4450/5217, emails=454, 5.5/s, ETA 139s
  [85.8%] 4475/5217, emails=454, 5.6/s, ETA 133s
  [86.3%] 4500/5217, emails=454, 5.6/s, ETA 128s
  [86.7%] 4525/5217, emails=454, 5.6/s, ETA 124s
  [87.2%] 4550/5217, emails=454, 5.6/s, ETA 119s
  [87.7%] 4575/5217, emails=454, 5.7/s, ETA 113s
  [88.2%] 4600/5217, emails=454, 5.7/s, ETA 108s
  [88.7%] 4625/5217, emails=455, 5.7/s, ETA 104s
  [89.1%] 4650/5217, emails=457, 5.6/s, ETA 101s
  [89.6%] 4675/5217, emails=457, 5.7/s, ETA 95s
  [90.1%] 4700/5217, emails=457, 5.7/s, ETA 91s
  [90.6%] 4725/5217, emails=457, 5.7/s, ETA 86s
  [91.0%] 4750/5217, emails=459, 5.7/s, ETA 82s
  [91.5%] 4775/5217, emails=460, 5.7/s, ETA 78s
  [92.0%] 4800/5217, emails=461, 5.7/s, ETA 73s
  [92.5%] 4825/5217, emails=461, 5.7/s, ETA 69s
  [93.0%] 4850/5217, emails=462, 5.7/s, ETA 64s
  [93.4%] 4875/5217, emails=463, 5.6/s, ETA 61s
  [93.9%] 4900/5217, emails=465, 5.5/s, ETA 58s
  [94.4%] 4925/5217, emails=466, 5.5/s, ETA 53s
  [94.9%] 4950/5217, emails=468, 5.5/s, ETA 49s
  [95.4%] 4975/5217, emails=470, 5.5/s, ETA 44s
  [95.8%] 5000/5217, emails=470, 5.5/s, ETA 39s
  [96.3%] 5025/5217, emails=471, 5.6/s, ETA 34s
  [96.8%] 5050/5217, emails=473, 5.6/s, ETA 30s
  [97.3%] 5075/5217, emails=475, 5.6/s, ETA 25s
  [97.8%] 5100/5217, emails=476, 5.6/s, ETA 21s
  [98.2%] 5125/5217, emails=476, 5.6/s, ETA 16s
  [98.7%] 5150/5217, emails=477, 5.6/s, ETA 12s
  [99.2%] 5175/5217, emails=479, 5.6/s, ETA 8s
  [99.7%] 5200/5217, emails=482, 5.6/s, ETA 3s
